feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
wrist_jerk_mean_mm_s3,-0.2717415499059205,3.067450557709751e-05,-0.18650692096635327,0.004628580314170521,229
thumb_tip_speed_median_mm_s,-0.27014419880061075,3.4287903196406675e-05,-0.2290907889445022,0.0004751471524670777,229
index_finger_tip_accel_mean_mm_s2,-0.27004726851771116,3.451961613382222e-05,-0.2113655947618868,0.0012932785443551546,229
wrist_speed_iqr_mm_s,-0.26856933152380863,3.8240822931271406e-05,-0.22202984403379422,0.0007147178429456386,229
index_finger_tip_peak_mean_magnitude_mm_s,-0.2672797590487369,4.179369977034705e-05,-0.23457022465839714,0.0003431339947509531,229
index_finger_tip_speed_median_mm_s,-0.26723978779805657,4.190864394483744e-05,-0.21396020882997174,0.0011224097646574584,229
wrist_peak_mean_magnitude_mm_s,-0.26510782121489845,4.848990272248871e-05,-0.20905792003420068,0.0014649563079596286,229
thumb_tip_jerk_mean_mm_s3,-0.26320419040125126,5.517764149056876e-05,-0.2064146491322427,0.0016870811573533615,229
wrist_mean_abs_diff_mm_s,-0.25761021386854943,8.020541731223503e-05,-0.18466424017698438,0.0050577116280269,229
index_finger_tip_jerk_mean_mm_s3,-0.25685175938689153,8.432342754679541e-05,-0.18844867196831122,0.0042120809840156025,229
wrist_speed_rms_mm_s,-0.2524024595455456,0.00011276417278194878,-0.17995845001939229,0.0063201477637360405,229
wrist_kinetic_energy_mm2_s2,-0.2524024595455456,0.00011276417278194878,-0.21850343532625038,0.0008722811420721907,229
wrist_peak_to_avg_ratio,0.24807856950320883,0.00014881995546568925,0.1490517295909506,0.024080977275184844,229
wrist_accel_q95_mm_s2,-0.2479746442514402,0.00014980659214469674,-0.1588283317786067,0.01614388360594972,229
index_finger_tip_mean_abs_diff_mm_s,-0.2453090614717006,0.0001773038903234773,-0.1952453520474794,0.00300683971016575,229
wrist_speed_kurtosis,0.24434275648650539,0.00018838692421377083,0.06727146532564413,0.3107832693795332,229
index_finger_tip_speed_q25_mm_s,-0.2441748772336483,0.0001903771512866746,-0.19679461820884597,0.0027801946587898345,229
wrist_speed_skew,0.24207788549483536,0.00021694871774011627,0.1420789325787671,0.031619068996282106,229
thumb_tip_kinetic_energy_mm2_s2,-0.2403965947630971,0.00024070968816709644,-0.21280617705531493,0.0011956722786153993,229
thumb_tip_speed_rms_mm_s,-0.2403965947630971,0.00024070968816709644,-0.17869944759978473,0.006702534000884055,229
thumb_tip_spectral_entropy,0.23926440908757884,0.00025805360659443907,0.3500242336558407,5.3000853367270265e-08,229
index_finger_tip_kinetic_energy_mm2_s2,-0.23836105882220504,0.00027271945122751855,-0.22423688112675652,0.0006299386714599793,229
index_finger_tip_speed_rms_mm_s,-0.23836105882220504,0.00027271945122751855,-0.19058806402611916,0.0037925458100869524,229
wrist_speed_min_mm_s,-0.23651988308774574,0.00030504402665348907,-0.2711816666790017,3.189802474844509e-05,229
thumb_tip_accel_q95_mm_s2,-0.22214422278059162,0.0007100775048240738,-0.1563902557682976,0.017872266231879645,229
thumb_tip_mean_abs_diff_mm_s,-0.21957856812755266,0.0008211454801141153,-0.1792208955059094,0.006541721136320763,229
thumb_tip_speed_q25_mm_s,-0.21932624960763358,0.0008328918599183189,-0.1876125417179885,0.004387101813829114,229
index_finger_tip_speed_min_mm_s,-0.21475403817044575,0.0010744327479026337,-0.24776098810184313,0.00015185422879379764,229
index_finger_tip_accel_q95_mm_s2,-0.20644851191972202,0.0016840508043479948,-0.14687029521096126,0.026252623642645495,229
wrist_speed_std_mm_s,-0.2060997627575368,0.001715499608759037,-0.13878594529351604,0.03582681413164979,229
thumb_tip_speed_kurtosis,0.20186231054479614,0.002142900772585865,0.051959194339886626,0.43391416435688884,229
index_finger_tip_jerk_q95_mm_s3,-0.20166495249456237,0.0021649894553120203,-0.14116973427981297,0.032736484538383306,229
index_finger_tip_speed_std_mm_s,-0.19596605142882487,0.0028994026122317125,-0.1629518710305372,0.013551409547055426,229
thumb_tip_speed_skew,0.1901227542200049,0.0038804417599126733,0.1012141938437921,0.1267133950111305,229
wrist_jerk_q95_mm_s3,-0.18942125877056643,0.004016429957432219,-0.0949144990514264,0.1522322126611011,229
index_finger_tip_n_jerk_peaks,0.1822953631073684,0.005661733662369259,0.27405562672976774,2.607203850171836e-05,229
thumb_tip_speed_std_mm_s,-0.17775165213446564,0.007003892625225467,-0.14027875707432919,0.03386391882325724,229
wrist_area_under_curve_mm_s,-0.17686528965063097,0.007296595699973145,-0.09552139689666854,0.14961643154472945,229
wrist_total_path_mm,-0.17032699232060808,0.00981421950877723,-0.08247188590502613,0.21375153154912457,229
index_finger_tip_area_under_curve_mm_s,-0.16971892966963467,0.010083517925273932,-0.07897412643304677,0.2338830481046972,229
wrist_speed_cv,0.16636484209692767,0.011689695913645702,0.14366009025660534,0.02975315464947965,229
thumb_tip_speed_min_mm_s,-0.1654375090811457,0.012171804742455229,-0.1505076679381146,0.022719247126227894,229
index_finger_tip_peak_to_avg_ratio,0.16415443193430948,0.012867690618735435,0.09126321546864559,0.16870417334357227,229
index_finger_tip_speed_skew,0.16252310526592154,0.013802784684183876,0.05631301728074476,0.39633741960241253,229
thumb_tip_area_under_curve_mm_s,-0.16245165665533057,0.01384506851582009,-0.0810784216476769,0.2216175379806605,229
thumb_tip_jerk_q95_mm_s3,-0.16223631154229068,0.013973199422077654,-0.1008780050503878,0.1279858354647947,229
thumb_tip_n_peaks,0.15757298120922825,0.01701467599553857,0.2232023753851153,0.0006684480642558392,229
wrist_spectral_entropy,0.156197654845771,0.018015425034270508,0.31860957080393726,8.480287439602032e-07,229
index_finger_tip_speed_kurtosis,0.15480465675956406,0.019080853451648203,0.009991243954710282,0.8804716601488582,229
index_finger_tip_total_path_mm,-0.1546657566634502,0.019190031717004705,-0.09538489599586,0.15020177216231081,229
thumb_tip_peak_to_avg_ratio,0.1443052084871278,0.029019323704178993,0.08021896209411795,0.2265706705788375,229
index_finger_tip_spectral_entropy,0.14302263098092508,0.03049378435580052,0.33238926772391497,2.610393780666473e-07,229
wrist_spectral_energy,-0.14100807994664016,0.03293863658211763,-0.10005582081202771,0.13113929463855592,229
index_finger_tip_n_peaks,0.13609328520922737,0.039611365061845254,0.28375119488663897,1.2982840560160364e-05,229
wrist_speed_max_mm_s,-0.13133403800075116,0.047124916443834035,-0.07074120867295594,0.28642965899056494,229
wrist_n_peaks,0.1268351354813806,0.055287738048546205,0.21035276279949416,0.001366219204481318,229
thumb_tip_zero_crossings,0.12465332287637043,0.0596493262903984,0.14285478872388924,0.030691387538373804,229
wrist_peak_max_magnitude_mm_s,-0.12230603139398179,0.06465438069483923,-0.06962798384549045,0.2940996390524256,229
wrist_sample_entropy,-0.12133522964308509,0.06682264825895354,-0.1105896430926863,0.09501997730402936,229
thumb_tip_total_path_mm,-0.1196029755667295,0.0708391734697884,-0.07348574065640234,0.2680978376172588,229
index_finger_tip_spectral_energy,-0.11887050239801379,0.07259568295326431,-0.09851267826725905,0.13721911825733885,229
index_finger_tip_n_accel_peaks,0.1150616640287056,0.08230853496726498,0.2339457966978045,0.0003562386015351674,229
thumb_tip_n_accel_peaks,0.11351335374768802,0.08654477489647924,0.20258760885399626,0.002063475969111757,229
thumb_tip_spectral_energy,-0.11328352083418099,0.08718825639680797,-0.0756850369055044,0.25399820796017025,229
index_finger_tip_peak_mean_duration_s,-0.0976492657712323,0.1407138358067232,-0.16504752469450917,0.01237972540997663,229
thumb_tip_peak_mean_duration_s,-0.09233358907139173,0.1637434518368694,-0.10382110223944895,0.11717602112235315,229
index_finger_tip_accel_max_mm_s2,-0.08531963385827378,0.19830283856735226,-0.05704359036324177,0.3902289589714676,229
wrist_n_high_peaks,-0.08379967792923138,0.2064443388353817,0.02936046454409808,0.6585120739965277,229
index_finger_tip_speed_cv,0.08356039918770901,0.20774766714913237,0.07094261989469575,0.2850564306300167,229
thumb_tip_peak_max_magnitude_mm_s,-0.08047062151012521,0.22511228473695885,-0.06371353068570419,0.3371256069988329,229
thumb_tip_speed_max_mm_s,-0.0798755495156229,0.22857155622636133,-0.032938300554392806,0.619997510599639,229
index_finger_tip_speed_max_mm_s,-0.0764929824268062,0.24894962382723984,-0.06951973125436435,0.29485271698738247,229
index_finger_tip_peak_max_magnitude_mm_s,-0.07478271253832476,0.25971969637448783,-0.06740809533670344,0.3097993429679977,229
index_finger_tip_zero_crossings,0.07470818010794866,0.26019622613636273,0.12387295237107782,0.06127660545328493,229
wrist_accel_max_mm_s2,-0.07138215838670196,0.28207502299846504,-0.016878409507430706,0.7994669184553936,229
wrist_zero_crossings,0.07131786780074416,0.2825097920809244,0.13253625164631525,0.045122671180458374,229
thumb_tip_mean_freq_hz,0.0626204602375898,0.3454967553667607,0.06130039132997023,0.35578019375587994,229
thumb_tip_speed_cv,0.060437530309814316,0.36260449196401723,0.05576868309952135,0.40092576152280246,229
thumb_tip_n_high_peaks,-0.05919948016979037,0.37253728460497104,0.017870041332965585,0.7879570411895009,229
index_finger_tip_jerk_max_mm_s3,-0.0521809688411739,0.4319519899951348,-0.05316793096329746,0.42328190000756866,229
thumb_tip_n_jerk_peaks,0.04935554128709642,0.45732983771170166,0.16389891076310734,0.013010376242907918,229
wrist_peak_mean_duration_s,-0.04920910635309686,0.45866739057986605,-0.04931369070431915,0.45771188334277674,229
thumb_tip_jerk_max_mm_s3,-0.038408874419291646,0.5630855482947674,0.009554258178608072,0.8856629434961195,229
